データ日付,終値,始値,高値,安値
"2014/01/01","14914.53","15908.88","16121.45","14914.53"
"2014/02/01","14841.07","14619.13","15051.60","14008.47"
"2014/03/01","14827.83","14652.23","15274.07","14224.23"
"2014/04/01","14304.11","14791.99","15071.88","13910.16"
"2014/05/01","14632.38","14485.13","14681.72","14006.44"
"2014/06/01","15162.10","14935.92","15376.24","14933.29"
"2014/07/01","15620.77","15326.20","15646.23","15164.04"
"2014/08/01","15424.59","15523.11","15613.25","14778.37"
"2014/09/01","16173.52","15476.60","16374.14","15476.60"
"2014/10/01","16413.76","16082.25","16413.76","14532.51"
"2014/11/01","17459.85","16862.47","17490.83","16780.53"
"2014/12/01","17450.77","17590.10","17935.64","16755.32"
"2015/01/01","17674.39","17408.71","17795.73","16795.96"
"2015/02/01","18797.94","17558.04","18797.94","17335.85"
"2015/03/01","19206.99","18826.88","19754.36","18665.11"
"2015/04/01","19520.01","19034.84","20187.65","19034.84"
"2015/05/01","20563.15","19531.63","20563.15","19291.99"
"2015/06/01","20235.73","20569.87","20868.03","19990.82"
"2015/07/01","20585.24","20329.32","20841.97","19737.64"
"2015/08/01","18890.48","20548.11","20808.69","17806.70"
"2015/09/01","17388.15","18165.69","18770.51","16930.84"
"2015/10/01","19083.10","17722.42","19083.10","17722.42"
"2015/11/01","19747.47","18683.24","19944.41","18683.24"
"2015/12/01","19033.71","20012.40","20012.40","18565.90"
"2016/01/01","17518.30","18450.98","18450.98","16017.26"
"2016/02/01","16026.76","17865.23","17865.23","14952.61"
"2016/03/01","16758.67","16085.51","17233.75","16085.51"
"2016/04/01","16666.05","16164.16","17572.49","15715.36"
"2016/05/01","17234.98","16147.38","17234.98","16106.72"
"2016/06/01","15575.92","16955.73","16955.73","14952.02"
"2016/07/01","16569.27","15682.48","16810.22","15106.98"
"2016/08/01","16887.40","16635.77","16919.92","16083.11"
"2016/09/01","16449.84","16926.84","17081.98","16405.01"
"2016/10/01","17425.02","16598.67","17446.41","16598.67"
"2016/11/01","18308.48","17442.40","18381.22","16251.54"
"2016/12/01","19114.37","18513.12","19494.53","18274.99"
"2017/01/01","19041.34","19594.16","19594.16","18787.99"
"2017/02/01","19118.99","19148.08","19459.15","18907.67"
"2017/03/01","18909.26","19393.54","19633.75","18909.26"
"2017/04/01","19196.74","18983.23","19289.43","18335.63"
"2017/05/01","19650.57","19310.52","19961.55","19310.52"
"2017/06/01","20033.43","19860.03","20230.41","19831.82"
"2017/07/01","19925.18","20055.80","20195.48","19925.18"
"2017/08/01","19646.24","19985.79","20080.04","19353.77"
"2017/09/01","20356.28","19691.47","20397.58","19274.82"
"2017/10/01","22011.61","20400.78","22011.67","20400.78"
"2017/11/01","22724.96","22420.08","22937.60","22028.32"
"2017/12/01","22764.94","22819.03","22939.18","22177.04"
"2018/01/01","23098.29","23506.33","24124.15","23098.29"
"2018/02/01","22068.24","23486.11","23486.11","21154.17"
"2018/03/01","21454.30","21724.47","21968.10","20617.86"
"2018/04/01","22467.87","21388.58","22467.87","21292.29"
"2018/05/01","22201.82","22508.03","23002.37","22018.52"
"2018/06/01","22304.51","22171.35","22966.38","22171.35"
"2018/07/01","22553.72","21811.93","22794.19","21546.99"
"2018/08/01","22865.15","22746.70","22869.50","21857.43"
"2018/09/01","24120.04","22707.38","24120.04","22307.06"
"2018/10/01","21920.46","24245.76","24270.62","21149.80"
"2018/11/01","22351.06","21687.65","22486.92","21507.54"
"2018/12/01","20014.77","22574.76","22574.76","19155.74"
"2019/01/01","20773.49","19561.96","20773.56","19561.96"
"2019/02/01","21385.16","20788.39","21556.51","20333.17"
"2019/03/01","21205.81","21602.69","21822.04","20977.11"
"2019/04/01","22258.73","21509.03","22307.58","21505.31"
"2019/05/01","20601.19","21923.72","21923.72","20601.19"
"2019/06/01","21275.92","20410.88","21462.86","20408.54"
"2019/07/01","21521.53","21729.97","21756.55","21046.24"
"2019/08/01","20704.37","21540.99","21540.99","20261.04"
"2019/09/01","21755.84","20620.19","22098.84","20620.19"
"2019/10/01","22927.04","21885.24","22974.13","21341.74"
"2019/11/01","23293.91","22850.77","23520.01","22850.77"
"2019/12/01","23656.62","23529.50","24066.12","23135.23"
"2020/01/01","23205.18","23204.86","24083.51","22977.75"
"2020/02/01","21142.96","22971.94","23873.59","21142.96"
"2020/03/01","18917.01","21344.08","21344.08","16552.83"
"2020/04/01","20193.69","18065.41","20193.69","17818.72"
"2020/05/01","21877.89","19619.35","21916.31","19619.35"
"2020/06/01","22288.14","22062.39","23178.10","21530.95"
"2020/07/01","21710.00","22121.73","22945.50","21710.00"
"2020/08/01","23139.76","22195.38","23296.77","22195.38"
"2020/09/01","23185.12","23138.07","23559.30","23032.54"
"2020/10/01","22977.13","23185.12","23671.13","22977.13"
"2020/11/01","26433.62","23295.48","26644.71","23295.48"
"2020/12/01","27444.17","26787.54","27568.15","26436.39"
"2021/01/01","27663.39","27258.38","28822.29","27055.94"
"2021/02/01","28966.01","28091.05","30467.75","28091.05"
"2021/03/01","29178.80","29663.50","30216.75","28405.52"
"2021/04/01","28812.63","29388.87","30089.25","28508.55"
"2021/05/01","28860.08","29331.37","29518.34","27448.01"
"2021/06/01","28791.53","28814.34","29441.30","28010.93"
"2021/07/01","27283.59","28707.04","28783.28","27283.59"
"2021/08/01","28089.54","27781.02","28089.54","27013.25"
"2021/09/01","29452.66","28451.02","30670.10","28451.02"
"2021/10/01","28892.69","28771.07","29255.55","27528.87"
"2021/11/01","27821.76","29647.08","29808.12","27821.76"
"2021/12/01","28791.71","27935.62","29069.16","27753.37"
"2022/01/01","27001.98","29301.79","29332.16","26170.30"
"2022/02/01","26526.82","27078.48","27696.08","25970.82"
"2022/03/01","27821.43","26844.72","28252.42","24717.53"
"2022/04/01","26847.90","27665.98","27787.98","26334.98"
"2022/05/01","27279.80","26818.53","27369.43","25748.72"
"2022/06/01","26393.04","27457.89","28246.53","25771.22"
"2022/07/01","27801.64","25935.62","27914.66","25935.62"
"2022/08/01","28091.53","27993.35","29222.77","27594.73"
